Boquerón	Cnel Bogado	1 h 30 min	07:00	21:00
Boquerón	Boquerón	15 min	14:00	16:00
Boquerón	Boquerón	5 min	12:30	17:00
Boquerón	San Blas	5 min	18:00	21:00
Buena Vista	Buena Vista	10 min	07:00	15:30
Buena Vista	Gral. Bernardino Caballero	20 min	06:30	01:30
Buena Vista	Quiteria	15 min	07:30	16:00
Buena Vista	Inmaculada Concepción	10 min	07:00	12:30
Buena Vista	Independencia	10 min	07:30	16:00
Caaguy Rory	Catedral	15 min	17:00	19:30
Caaguy Rory	Catedral	15 min	17:00	19:30
Caaguy Rory	Catedral	15 min	06:30	16:00
Caaguy Rory	Inmaculada Concepción	15 min	08:00	21:00
Caaguy Rory	Buena Vista	20 min	07:00	18:30
Caaguy Rory	Caaguy Rory	15 min	06:30	19:00
Caaguy Rory	Otros distritos de Itapúa	1 h 30 min	14:00	03:30
Caaguy Rory	Padre Bolik	5 min	07:00	21:00
Cambyreta (distrito)	Gral. Bernardino Caballero	10 min	07:00	22:00
Cambyreta (distrito)	Otros distritos de Itapúa	10 min	07:00	10:30
Cambyreta (distrito)	Otros distritos de Itapúa	10 min	07:00	10:30
Cambyreta (distrito)	Catedral	25 min	07:00	19:00
Cambyreta (distrito)	Inmaculada Concepción	15 min	06:30	07:00
Carlos A. López	Catedral	más de 1 h 30 min	07:30	12:00
Carlos A. López	Boquerón	30 min	08:00	08:30
Carlos A. López	San Pedro	20 min	16:00	20:00
Carlos A. López	Boquerón	15 min	07:00	17:00
Carlos A. López	Buena Vista	20 min	07:00	16:00
Carlos A. López	Caaguy Rory	15 min	12:00	14:00
Carmen del Paraná (distrito)	Catedral	1 h	17:00	22:30
Catedral	Buena Vista	10 min	07:00	15:30
Catedral	Buena Vista	20 min	08:00	13:00
Catedral	Gral. Bernardino Caballero	25 min	06:30	06:00
Catedral	Gral. Bernardino Caballero	15 min	07:00	18:30
Catedral	Buena Vista	10 min	08:00	05:00
Catedral	Fátima	10 min	07:30	18:00
Catedral	Caaguy Rory	10 min	17:00	21:00
Catedral	Catedral	10 min	18:30	08:00
Catedral	Catedral	5 min	16:30	12:00
Catedral	Catedral	1 h	06:00	06:30
Catedral	Padre Bolik	20 min	09:00	18:00
Catedral	Carlos A. López	15 min	07:00	19:00
Catedral	Catedral	15 min		
Catedral	Otros distritos de Itapúa	más de 1 h 30 min	07:30	20:30
Catedral	Juan León Mallorquín	10 min	07:00	13:30
Catedral	Quiteria	30 min	06:00	06:00
Catedral	Gral. Bernardino Caballero	más de 1 h 30 min	06:30	08:30
Chaipé	Chaipé	10 min	07:00	17:00
Chaipé	Boquerón	10 min	07:00	22:00
Defensores del Chaco	Caaguy Rory	15 min	06:00	22:00
Defensores del Chaco	Catedral	15 min	07:30	21:30
Gral. Bernardino Caballero	Gral. Bernardino Caballero	10 min	06:30	15:30
Gral. Bernardino Caballero	Gral. Bernardino Caballero	30 min	08:00	14:00
Gral. Bernardino Caballero	Gral. Bernardino Caballero	15 min	07:30	18:00
Gral. Bernardino Caballero	Caaguy Rory	45 min	07:00	15:00
Gral. Bernardino Caballero	Buena Vista	45 min	06:30	20:00
Gral. Bernardino Caballero	Caaguy Rory	30 min	07:30	18:00
